sample_id,video_id,clip_id,text_chars,label,annotation,source_video_path,resolved_video_path,source_sha256,output_npz,metadata_json,word_count,audio_frames,audio_valid_frames,vision_samples,vision_valid_samples,audio_observed_word_ratio,vision_observed_word_ratio,alignment_mean_confidence,alignment_low_confidence_words,text_fallback_words,alignment_interval_valid,nan_count,inf_count,status,error
-UuX1xuaiiE$_$3,-UuX1xuaiiE,3,42,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\3.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/3.mp4,eddb408f25bdc13e6de2fb74caeed709cb7a8f00640e7897135330437f66a2aa,artifacts/q1/final_100/features/-UuX1xuaiiE__3.npz,artifacts/q1/final_100/metadata/-UuX1xuaiiE__3.json,9,402,230,21,21,1.0,1.0,0.742430567741394,0,0,True,0,0,ok,
-UuX1xuaiiE$_$6,-UuX1xuaiiE,6,125,-0.3333333432674408,Negative,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\6.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/6.mp4,f0131ac00e44410fbd32c547a0d421c2791172434fc0203bb969abe14a530532,artifacts/q1/final_100/features/-UuX1xuaiiE__6.npz,artifacts/q1/final_100/metadata/-UuX1xuaiiE__6.json,22,792,103,40,40,0.9090909090909091,1.0,0.7225556969642639,2,0,True,0,0,ok,
-a55Q6RWvTA$_$3,-a55Q6RWvTA,3,339,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-a55Q6RWvTA\3.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-a55Q6RWvTA/3.mp4,15d029fc15f50b268b98f1e8abc65e45582e638c13a018d7aa74a18373275946,artifacts/q1/final_100/features/-a55Q6RWvTA__3.npz,artifacts/q1/final_100/metadata/-a55Q6RWvTA__3.json,65,2206,998,111,111,1.0,1.0,0.7695939540863037,0,0,True,0,0,ok,
-aNfi7CP8vM$_$7,-aNfi7CP8vM,7,120,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-aNfi7CP8vM\7.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-aNfi7CP8vM/7.mp4,0b6389f45bb966113c65a11998c6e7facdd24c8c42acf2e8cf32e0f2139402e1,artifacts/q1/final_100/features/-aNfi7CP8vM__7.npz,artifacts/q1/final_100/metadata/-aNfi7CP8vM__7.json,18,852,593,43,43,1.0,1.0,0.7288879156112671,0,0,True,0,0,ok,
-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,0,87,-2.0,Negative,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-aqamKhZ1Ec\0.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-aqamKhZ1Ec/0.mp4,6f6e674bbba4353399e9e7825217f37e6d8ca1adf9675f33cf37106f31c55548,artifacts/q1/final_100/features/-aqamKhZ1Ec__0.npz,artifacts/q1/final_100/metadata/-aqamKhZ1Ec__0.json,14,1087,558,55,55,1.0,1.0,0.7747469544410706,0,0,True,0,0,ok,
-dxfTGcXJoc$_$1,-dxfTGcXJoc,1,231,1.6666666269302368,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\1.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/1.mp4,b5ffdc98a4a98b8f0aae55dee5fed66a43bcb129f47a250a004c1cc74e572595,artifacts/q1/final_100/features/-dxfTGcXJoc__1.npz,artifacts/q1/final_100/metadata/-dxfTGcXJoc__1.json,36,1600,769,81,81,1.0,1.0,0.7755885124206543,0,0,True,0,0,ok,
-dxfTGcXJoc$_$0,-dxfTGcXJoc,0,265,1.0,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\0.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/0.mp4,04bd0be907fb46c613f926fe1b06bc2c3b30881c293156510baa34a4105ade55,artifacts/q1/final_100/features/-dxfTGcXJoc__0.npz,artifacts/q1/final_100/metadata/-dxfTGcXJoc__0.json,42,2039,896,103,80,1.0,0.8095238095238095,0.7747880220413208,0,0,True,0,0,ok,
-dxfTGcXJoc$_$2,-dxfTGcXJoc,2,231,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\2.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/2.mp4,46a5e523b5dd00364c99a3bcbc6fae4c80e1382a84b5b5e681c46eb074ed10f7,artifacts/q1/final_100/features/-dxfTGcXJoc__2.npz,artifacts/q1/final_100/metadata/-dxfTGcXJoc__2.json,35,1661,820,84,84,1.0,0.9428571428571428,0.7572613954544067,0,0,True,0,0,ok,
-dxfTGcXJoc$_$6,-dxfTGcXJoc,6,188,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\6.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/6.mp4,55c1ff86729ab21da743a5107ed07b220e41b4193cd1c0ba9f009e65c3ab0513,artifacts/q1/final_100/features/-dxfTGcXJoc__6.npz,artifacts/q1/final_100/metadata/-dxfTGcXJoc__6.json,27,1261,497,64,64,0.9629629629629629,1.0,0.7778878808021545,1,0,True,0,0,ok,
-egA8-b7-3M$_$26,-egA8-b7-3M,26,82,1.6666666269302368,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\26.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/26.mp4,11f78aed680ea9c5862a15e04ff6c1f8776c46d29c98b68d28773ff39d959685,artifacts/q1/final_100/features/-egA8-b7-3M__26.npz,artifacts/q1/final_100/metadata/-egA8-b7-3M__26.json,15,590,416,30,30,1.0,1.0,0.7092276811599731,0,0,True,0,0,ok,
-egA8-b7-3M$_$17,-egA8-b7-3M,17,89,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\17.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/17.mp4,f967e81e0edd51c3700671721afb3fbecbbc32652f27d2db40ea444e8d80c68f,artifacts/q1/final_100/features/-egA8-b7-3M__17.npz,artifacts/q1/final_100/metadata/-egA8-b7-3M__17.json,16,708,418,36,36,1.0,1.0,0.7241460680961609,0,0,True,0,0,ok,
-egA8-b7-3M$_$18,-egA8-b7-3M,18,125,1.0,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\18.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/18.mp4,fd4bc95a6adfb16a9588b7ed65cc2812186ce3d607804dc76f4486312951ef90,artifacts/q1/final_100/features/-egA8-b7-3M__18.npz,artifacts/q1/final_100/metadata/-egA8-b7-3M__18.json,22,825,549,42,42,1.0,1.0,0.726878821849823,0,0,True,0,0,ok,
-egA8-b7-3M$_$16,-egA8-b7-3M,16,77,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\16.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/16.mp4,4c015f85e3bd901ecedde8c0c2ca4a756d9a77dfe4177625c481581f2037ff9c,artifacts/q1/final_100/features/-egA8-b7-3M__16.npz,artifacts/q1/final_100/metadata/-egA8-b7-3M__16.json,11,546,375,28,28,1.0,1.0,0.7189931273460388,0,0,True,0,0,ok,
-egA8-b7-3M$_$13,-egA8-b7-3M,13,65,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\13.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/13.mp4,cbd627c225ebca37521ae238cb9ec254cad236822f4f37ebfbb039e6c56aea4c,artifacts/q1/final_100/features/-egA8-b7-3M__13.npz,artifacts/q1/final_100/metadata/-egA8-b7-3M__13.json,11,400,252,21,21,1.0,1.0,0.7198232412338257,0,0,True,0,0,ok,
-egA8-b7-3M$_$1,-egA8-b7-3M,1,123,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\1.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/1.mp4,589a7989b1b4888568c31614a2d6beefba88fb87289c85b94df2d8051500403b,artifacts/q1/final_100/features/-egA8-b7-3M__1.npz,artifacts/q1/final_100/metadata/-egA8-b7-3M__1.json,20,1014,680,51,51,1.0,0.95,0.7363067865371704,0,0,True,0,0,ok,
-egA8-b7-3M$_$6,-egA8-b7-3M,6,80,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\6.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/6.mp4,2e88a00d5e55863aa956b4b0949fc0e4f2975ccfd83b3194957f6fca86ecfce0,artifacts/q1/final_100/features/-egA8-b7-3M__6.npz,artifacts/q1/final_100/metadata/-egA8-b7-3M__6.json,12,616,432,32,32,1.0,1.0,0.7078647613525391,0,0,True,0,0,ok,
-egA8-b7-3M$_$9,-egA8-b7-3M,9,69,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\9.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/9.mp4,bcd643f328616312eae9b28e6c9aabbe8acaec3e4c4be58daeb45e3eee4d973c,artifacts/q1/final_100/features/-egA8-b7-3M__9.npz,artifacts/q1/final_100/metadata/-egA8-b7-3M__9.json,10,492,338,25,25,1.0,1.0,0.7128279805183411,0,0,True,0,0,ok,
-egA8-b7-3M$_$20,-egA8-b7-3M,20,98,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\20.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/20.mp4,719ef133920e74b3ea33925d2bca0270b062199116867568f88ac83cadcd74e8,artifacts/q1/final_100/features/-egA8-b7-3M__20.npz,artifacts/q1/final_100/metadata/-egA8-b7-3M__20.json,20,645,399,33,33,1.0,0.95,0.7045899033546448,0,0,True,0,0,ok,
-iRBcNs9oI8$_$3,-iRBcNs9oI8,3,36,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\3.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/3.mp4,39c547acd1a8da2ebc6c6ab008191a5676420398a974cd9611cad087f0ccec50,artifacts/q1/final_100/features/-iRBcNs9oI8__3.npz,artifacts/q1/final_100/metadata/-iRBcNs9oI8__3.json,8,552,396,28,17,1.0,0.75,0.7366189956665039,0,0,True,0,0,ok,
-iRBcNs9oI8$_$7,-iRBcNs9oI8,7,50,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\7.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/7.mp4,cc7b1c7a06ec41d72007b5c42fb8036f30b66d5cf76e3f093160c22fc5e38081,artifacts/q1/final_100/features/-iRBcNs9oI8__7.npz,artifacts/q1/final_100/metadata/-iRBcNs9oI8__7.json,9,399,300,20,13,1.0,1.0,0.6766316890716553,0,0,True,0,0,ok,
-iRBcNs9oI8$_$6,-iRBcNs9oI8,6,20,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\6.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/6.mp4,030b0b8d8d4ae47799432ab71b66fcc881f077c5b0feef892c1f146dc0a592e3,artifacts/q1/final_100/features/-iRBcNs9oI8__6.npz,artifacts/q1/final_100/metadata/-iRBcNs9oI8__6.json,5,280,227,15,10,1.0,1.0,0.7081214189529419,0,0,True,0,0,ok,
-iRBcNs9oI8$_$9,-iRBcNs9oI8,9,28,1.3333333730697632,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\9.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/9.mp4,352bdcc73d3622d6abac1b09f2039b211d15b9bf7acee66f0b07783c9b7a4c74,artifacts/q1/final_100/features/-iRBcNs9oI8__9.npz,artifacts/q1/final_100/metadata/-iRBcNs9oI8__9.json,5,335,193,17,13,1.0,0.8,0.699927031993866,0,0,True,0,0,ok,
-iRBcNs9oI8$_$8,-iRBcNs9oI8,8,96,1.0,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\8.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-iRBcNs9oI8/8.mp4,72a49e3da2862addcde033bd2fbae957d086533664ca4dcbccd3a851bcd50412,artifacts/q1/final_100/features/-iRBcNs9oI8__8.npz,artifacts/q1/final_100/metadata/-iRBcNs9oI8__8.json,21,801,558,41,23,1.0,0.7142857142857143,0.7055964469909668,0,0,True,0,0,ok,
-lzEya4AM_4$_$5,-lzEya4AM_4,5,104,-0.6666666865348816,Negative,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-lzEya4AM_4\5.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-lzEya4AM_4/5.mp4,3b74de8d0e66fd754594f05985e5af3480adcc03555f79225d3b727cb4bed043,artifacts/q1/final_100/features/-lzEya4AM_4__5.npz,artifacts/q1/final_100/metadata/-lzEya4AM_4__5.json,19,755,388,39,39,1.0,1.0,0.7117114067077637,0,0,True,0,0,ok,
-lzEya4AM_4$_$6,-lzEya4AM_4,6,228,-0.3333333432674408,Negative,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-lzEya4AM_4\6.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-lzEya4AM_4/6.mp4,ff5da5afb551001d58100ed2471caea51c741046d5396957efbf40082307ca18,artifacts/q1/final_100/features/-lzEya4AM_4__6.npz,artifacts/q1/final_100/metadata/-lzEya4AM_4__6.json,43,1472,741,74,74,1.0,0.9767441860465116,0.7292854189872742,0,0,True,0,0,ok,
-mJ2ud6oKI8$_$1,-mJ2ud6oKI8,1,60,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\1.mp4,/data2/hy/cts/e_problem/data/raw_q1/MOSEI数据集部分原始视频-100条/-mJ2ud6oKI8/1.mp4,c8e3acb4ca08679796c4c8cdfcd8c2b3cffc0465015efaffa1eccdb55ff4f45b,artifacts/q1/final_100/features/-mJ2ud6oKI8__1.npz,artifacts/q1/final_100/metadata/-mJ2ud6oKI8__1.json,13,603,0,31,0,0.0,0.0,0.4118534326553345,13,0,True,0,0,ok,
