sample_id,video_id,clip_id,text,text_chars,label,annotation,source_video_path,file_exists,file_size_bytes,ffprobe_ok,video_stream_count,audio_stream_count,video_codec,width,height,frame_rate,audio_codec,sample_rate,channels,duration_sec,full_decode_ok,text_nonempty,label_valid,annotation_valid,annotation_consistent,quality_status,exclusion_reasons,probe_error,decode_error
-NFrJFQijFE$_$2,-NFrJFQijFE,2,So we coordinate with all the proper technical fields to get ready for the instrument to arrive here,100,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-NFrJFQijFE\2.mp4,True,1452918,True,1,1,h264,1280,720,25/1,aac,44100,2,6.856,True,True,True,True,True,qualified,,,
-THoVjtIkeU$_$12,-THoVjtIkeU,12,"What ever we turn our attention to is what grows and so if we believe that anything is possible, if we believe that social justice can be achieved and if we believe in youth, they will believe in themselves.",207,2.0,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-THoVjtIkeU\12.mp4,True,1262553,True,1,1,h264,640,360,30/1,aac,44100,2,14.896029,True,True,True,True,True,qualified,,,
-THoVjtIkeU$_$2,-THoVjtIkeU,2,I think social justice is extremely important for young people.,63,1.3333333730697632,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-THoVjtIkeU\2.mp4,True,347917,True,1,1,h264,640,360,30/1,aac,44100,2,4.291992,True,True,True,True,True,qualified,,,
-THoVjtIkeU$_$6,-THoVjtIkeU,6,"You know that I think listening to young people, taking in what they have to say because what we have seen all around the world is the power of youth.",150,2.6666667461395264,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-THoVjtIkeU\6.mp4,True,801802,True,1,1,h264,640,360,30/1,aac,44100,2,8.097005,True,True,True,True,True,qualified,,,
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,^And all of them are really being able to explore ^these different areas in depth ^in a way that really wasn't available ^before the center was here,148,1.6666666269302368,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\1.mp4,True,2032933,True,1,1,h264,1280,720,30/1,aac,44100,2,10.35,True,True,True,True,True,qualified,,,
-UuX1xuaiiE$_$0,-UuX1xuaiiE,0,^it's amazing to see their enthusiasm and their passion,55,2.6666667461395264,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\0.mp4,True,654518,True,1,1,h264,1280,720,30/1,aac,44100,2,3.633333,True,True,True,True,True,qualified,,,
-UuX1xuaiiE$_$3,-UuX1xuaiiE,3,My goal is to become a human rights lawyer,42,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\3.mp4,True,1424269,True,1,1,h264,1280,720,30/1,aac,44100,2,4.130013,True,True,True,True,True,qualified,,,
-UuX1xuaiiE$_$6,-UuX1xuaiiE,6,"I ended up going to work for the US government as an intelligence analyst, specializing in war crimes and human rights issues",125,-0.3333333432674408,Negative,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-UuX1xuaiiE\6.mp4,True,1662602,True,1,1,h264,1280,720,30/1,aac,44100,2,8.113997,True,True,True,True,True,qualified,,,
-a55Q6RWvTA$_$3,-a55Q6RWvTA,3,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se.",339,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-a55Q6RWvTA\3.mp4,True,749365,True,1,1,h264,480,270,30/1,aac,44100,2,22.153971,True,True,True,True,True,qualified,,,
-aNfi7CP8vM$_$7,-aNfi7CP8vM,7,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.",120,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-aNfi7CP8vM\7.mp4,True,430559,True,1,1,h264,480,360,30/1,aac,44100,2,8.694987,True,True,True,True,True,qualified,,,
-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,0,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.",87,-2.0,Negative,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-aqamKhZ1Ec\0.mp4,True,2882018,True,1,1,h264,1280,720,30/1,aac,44100,2,10.966667,True,True,True,True,True,qualified,,,
-dxfTGcXJoc$_$1,-dxfTGcXJoc,1,"For the 10th straight year, some of Kentucky’s best and most innovative biotech companies and technologies were on display at the annual BIO International Convention, which I and other state officials attended this week in Chicago.",231,1.6666666269302368,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\1.mp4,True,658423,True,1,1,h264,320,240,30/1,aac,44100,2,16.161003,True,True,True,True,True,qualified,,,
-dxfTGcXJoc$_$0,-dxfTGcXJoc,0,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.",265,1.0,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\0.mp4,True,771408,True,1,1,h264,320,240,30/1,aac,44100,2,20.5,True,True,True,True,True,qualified,,,
-dxfTGcXJoc$_$2,-dxfTGcXJoc,2,"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.",231,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\2.mp4,True,675725,True,1,1,h264,320,240,30/1,aac,44100,2,16.697982,True,True,True,True,True,qualified,,,
-dxfTGcXJoc$_$6,-dxfTGcXJoc,6,Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,188,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-dxfTGcXJoc\6.mp4,True,428971,True,1,1,h264,320,240,30/1,aac,44100,2,12.735026,True,True,True,True,True,qualified,,,
-egA8-b7-3M$_$26,-egA8-b7-3M,26,We're updating it all the time and looking forward to your comments on our videos.,82,1.6666666269302368,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\26.mp4,True,688886,True,1,1,h264,640,360,30/1,aac,44100,2,6.03099,True,True,True,True,True,qualified,,,
-egA8-b7-3M$_$17,-egA8-b7-3M,17,"As you have more experience, you have more times exhibiting, you get to know more people.",89,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\17.mp4,True,774900,True,1,1,h264,640,360,30/1,aac,44100,2,7.271029,True,True,True,True,True,qualified,,,
-egA8-b7-3M$_$18,-egA8-b7-3M,18,It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.,125,1.0,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\18.mp4,True,737865,True,1,1,h264,640,360,30/1,aac,44100,2,8.386003,True,True,True,True,True,qualified,,,
-egA8-b7-3M$_$16,-egA8-b7-3M,16,"Third, another big benefit of exhibiting is connecting with existing clients.",77,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\16.mp4,True,391465,True,1,1,h264,640,360,30/1,aac,44100,2,5.538021,True,True,True,True,True,qualified,,,
-egA8-b7-3M$_$13,-egA8-b7-3M,13,"What are you doing that's different?"" They always want an answer.",65,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\13.mp4,True,394399,True,1,1,h264,640,360,30/1,aac,44100,2,4.183984,True,True,True,True,True,qualified,,,
-egA8-b7-3M$_$1,-egA8-b7-3M,1,I started a successful Legal Nurse Consulting Business in 1989. I mentor nurses who want to become Legal Nurse Consultants.,123,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\1.mp4,True,658247,True,1,1,h264,640,360,30/1,aac,44100,2,10.266016,True,True,True,True,True,qualified,,,
-egA8-b7-3M$_$6,-egA8-b7-3M,6,First exhibiting is a wonderful opportunity to network with other legal vendors.,80,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\6.mp4,True,446118,True,1,1,h264,640,360,30/1,aac,44100,2,6.264974,True,True,True,True,True,qualified,,,
-egA8-b7-3M$_$9,-egA8-b7-3M,9,"Secondly, another goal of exhibiting  is building your company image.",69,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\9.mp4,True,581652,True,1,1,h264,640,360,30/1,aac,44100,2,5.089974,True,True,True,True,True,qualified,,,
-egA8-b7-3M$_$20,-egA8-b7-3M,20,"Now you've got a face that you can connect with a voice, and that makes you closer to that client.",98,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-egA8-b7-3M\20.mp4,True,823539,True,1,1,h264,640,360,30/1,aac,44100,2,6.644987,True,True,True,True,True,qualified,,,
-iRBcNs9oI8$_$3,-iRBcNs9oI8,3,"Well, it is the secret of power pose",36,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\3.mp4,True,988521,True,1,1,h264,1280,720,30000/1001,aac,44100,2,5.621,True,True,True,True,True,qualified,,,
-iRBcNs9oI8$_$7,-iRBcNs9oI8,7,"Well, for starters, let's look at the word ""power""",50,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\7.mp4,True,980176,True,1,1,h264,1280,720,30000/1001,aac,44100,2,4.104,True,True,True,True,True,qualified,,,
-iRBcNs9oI8$_$6,-iRBcNs9oI8,6,What is a power pose,20,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\6.mp4,True,1286164,True,1,1,h264,1280,720,30000/1001,aac,44100,2,2.903,True,True,True,True,True,qualified,,,
-iRBcNs9oI8$_$9,-iRBcNs9oI8,9,Power is similar to strength,28,1.3333333730697632,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\9.mp4,True,1084122,True,1,1,h264,1280,720,30000/1001,aac,44100,2,3.416,True,True,True,True,True,qualified,,,
-iRBcNs9oI8$_$8,-iRBcNs9oI8,8,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong",96,1.0,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-iRBcNs9oI8\8.mp4,True,1166371,True,1,1,h264,1280,720,30000/1001,aac,44100,2,8.093,True,True,True,True,True,qualified,,,
-lzEya4AM_4$_$5,-lzEya4AM_4,5,"If it falls into oh any of those three categories, inducing nausea and vomiting would be your next step.",104,-0.6666666865348816,Negative,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-lzEya4AM_4\5.mp4,True,333185,True,1,1,h264,470,360,30/1,aac,44100,2,7.675,True,True,True,True,True,qualified,,,
-lzEya4AM_4$_$6,-lzEya4AM_4,6,"If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea, as as the product burned on the way down it could cause damage and burning on the way back up.",228,-0.3333333432674408,Negative,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-lzEya4AM_4\6.mp4,True,1088736,True,1,1,h264,470,360,30/1,aac,44100,2,14.791992,True,True,True,True,True,qualified,,,
-mJ2ud6oKI8$_$1,-mJ2ud6oKI8,1,There are a dozen or more hands on techniques that we can do,60,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\1.mp4,True,1040138,True,1,1,h264,1280,720,30000/1001,aac,44100,2,6.103,True,True,True,True,True,qualified,,,
-mJ2ud6oKI8$_$2,-mJ2ud6oKI8,2,So physical therapists and chiropractors will do joint manipulations and mobilizations,86,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\2.mp4,True,1471617,True,1,1,h264,1280,720,30000/1001,aac,44100,2,5.731,True,True,True,True,True,qualified,,,
-mJ2ud6oKI8$_$6,-mJ2ud6oKI8,6,They are all very safe,22,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\6.mp4,True,562692,True,1,1,h264,1280,720,30000/1001,aac,44100,2,2.257,True,True,True,True,True,qualified,,,
-mJ2ud6oKI8$_$9,-mJ2ud6oKI8,9,"It's safe and the person will feel better later on, but it's sort of like flossing your teeth for the first time",112,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\9.mp4,True,1788453,True,1,1,h264,1280,720,30000/1001,aac,44100,2,7.033,True,True,True,True,True,qualified,,,
-mJ2ud6oKI8$_$8,-mJ2ud6oKI8,8,Sometimes we have to stretch that joint that is already irritated,65,-0.3333333432674408,Negative,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mJ2ud6oKI8\8.mp4,True,1578317,True,1,1,h264,1280,720,30000/1001,aac,44100,2,4.192,True,True,True,True,True,qualified,,,
-mqbVkbCndg$_$0,-mqbVkbCndg,0,"How, at a particular moment in time—our moment in time—are they limited",71,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-mqbVkbCndg\0.mp4,True,517424,True,1,1,h264,1280,720,30/1,aac,44100,2,6.466667,True,True,True,True,True,qualified,,,
-t217m2on-s$_$2,-t217m2on-s,2,"But a good thing to do is yawning, chewing gum is effective.",60,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-t217m2on-s\2.mp4,True,282834,True,1,1,h264,480,270,30/1,aac,44100,2,5.686003,True,True,True,True,True,qualified,,,
-t217m2on-s$_$7,-t217m2on-s,7,"If you find that your ears consistently do this and you can't pop them often, you'll definitely need to see a physician regarding those things, it could be something more of a nasal infection or a sinus infection that he would need to deal with.",245,-0.6666666865348816,Negative,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-t217m2on-s\7.mp4,True,648501,True,1,1,h264,480,270,30/1,aac,44100,2,17.183008,True,True,True,True,True,qualified,,,
-tANM6ETl_M$_$3,-tANM6ETl_M,3,"The first place is either you have a prospect, or a customer who's never done it before, or they've never tried it.",115,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-tANM6ETl_M\3.mp4,True,1547930,True,1,1,h264,1280,720,30/1,aac,44100,2,6.758008,True,True,True,True,True,qualified,,,
-tPCytz4rww$_$11,-tPCytz4rww,11,"Make sure that your using comps that are not larger, no larger than twelve hundred square feet.",95,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-tPCytz4rww\11.mp4,True,361198,True,1,1,h264,480,270,30/1,aac,44100,2,5.466992,True,True,True,True,True,qualified,,,
-tPCytz4rww$_$10,-tPCytz4rww,10,Say twenty percent so if you've got a thousand square foot condo.,65,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-tPCytz4rww\10.mp4,True,512248,True,1,1,h264,480,270,30/1,aac,44100,2,4.788997,True,True,True,True,True,qualified,,,
-tPCytz4rww$_$12,-tPCytz4rww,12,"No less than eight hundred squire feet and going to similar in, similar with bedrooms and bathrooms as well and hopefully the complexes have similar amenities.",159,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-tPCytz4rww\12.mp4,True,831948,True,1,1,h264,480,270,30/1,aac,44100,2,11.863997,True,True,True,True,True,qualified,,,
-tPCytz4rww$_$16,-tPCytz4rww,16,So make sure to get a through or to do a through cleaning of the property.,74,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-tPCytz4rww\16.mp4,True,550547,True,1,1,h264,480,270,30/1,aac,44100,2,7.20599,True,True,True,True,True,qualified,,,
-tPCytz4rww$_$18,-tPCytz4rww,18,Do so and as well you'll also want to remove any clutter from that you've accumulated.,86,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-tPCytz4rww\18.mp4,True,625292,True,1,1,h264,480,270,30/1,aac,44100,2,6.644987,True,True,True,True,True,qualified,,,
-vxjVxOeScU$_$4,-vxjVxOeScU,4,"You're going to talk about their life, their marriage and usually how amazing it is that they've stayed together this long.",123,1.0,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-vxjVxOeScU\4.mp4,True,431202,True,1,1,h264,480,360,30/1,aac,44100,2,9.127018,True,True,True,True,True,qualified,,,
-wMB_hJL-3o$_$7,-wMB_hJL-3o,7,So if you have a loved one who is depressed those are some of the things that you should think about doing.,107,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-wMB_hJL-3o\7.mp4,True,264692,True,1,1,h264,480,360,30/1,aac,44100,2,6.04401,True,True,True,True,True,qualified,,,
-wny0OAz3g8$_$1,-wny0OAz3g8,1,"And because they couldn’t join unions, many Black workers couldn’t get manufacturing or trade work – which paid much better than service work",141,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-wny0OAz3g8\1.mp4,True,1001717,True,1,1,h264,1280,720,30/1,aac,44100,2,6.84401,True,True,True,True,True,qualified,,,
-wny0OAz3g8$_$0,-wny0OAz3g8,0,trade labor unions didn’t allow Black workers to join,53,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-wny0OAz3g8\0.mp4,True,458092,True,1,1,h264,1280,720,30/1,aac,44100,2,3.333333,True,True,True,True,True,qualified,,,
-wny0OAz3g8$_$3,-wny0OAz3g8,3,Which then allowed the white workers and unions to justify their decision to not allow black workers into their union,117,-1.3333333730697632,Negative,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-wny0OAz3g8\3.mp4,True,1314050,True,1,1,h264,1280,720,30/1,aac,44100,2,6.146029,True,True,True,True,True,qualified,,,
-wny0OAz3g8$_$2,-wny0OAz3g8,2,"And because they couldn’t get these jobs, Black communities had more men out of work, higher rates of poverty, and more criminal behavior",137,-0.3333333432674408,Negative,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-wny0OAz3g8\2.mp4,True,1365442,True,1,1,h264,1280,720,30/1,aac,44100,2,6.686979,True,True,True,True,True,qualified,,,
-wny0OAz3g8$_$5,-wny0OAz3g8,5,"This is what’s now known as racial formation theory, a theory formalized by modern sociologists Michael Omi and Howard Winant",125,1.0,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-wny0OAz3g8\5.mp4,True,1349104,True,1,1,h264,1280,720,30/1,aac,44100,2,6.911979,True,True,True,True,True,qualified,,,
-wny0OAz3g8$_$7,-wny0OAz3g8,7,Omi and Winant argue that the concept of race came about as a tool to justify and maintain the economic and political power held by those of European descent,157,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-wny0OAz3g8\7.mp4,True,1016813,True,1,1,h264,1280,720,30/1,aac,44100,2,8.067969,True,True,True,True,True,qualified,,,
-wny0OAz3g8$_$9,-wny0OAz3g8,9,"He explores why Black and White Americans tend to have such different outcomes in terms of income, education, and more",118,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-wny0OAz3g8\9.mp4,True,1322886,True,1,1,h264,1280,720,30/1,aac,44100,2,6.213021,True,True,True,True,True,qualified,,,
-571d8cVauQ$_$0,-571d8cVauQ,0,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village.",72,0.0,Neutral,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-571d8cVauQ\0.mp4,True,259577,True,1,1,h264,486,360,30/1,aac,44100,2,5.066667,True,True,True,True,True,qualified,,,
-571d8cVauQ$_$5,-571d8cVauQ,5,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there and let everybody knows this is a very valuable spot.",229,0.3333333432674408,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-571d8cVauQ\5.mp4,True,813771,True,1,1,h264,486,360,30/1,aac,44100,2,15.272982,True,True,True,True,True,qualified,,,
-I_e4mIh0yE$_$1,-I_e4mIh0yE,1,In the United States we don't punish failure to the degree to which failure is punished in Europe.,98,-0.6666666865348816,Negative,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-I_e4mIh0yE\1.mp4,True,487464,True,1,1,h264,640,360,30/1,aac,44100,2,7.622005,True,True,True,True,True,qualified,,,
-I_e4mIh0yE$_$3,-I_e4mIh0yE,3,"It's perceived that you have actually learned something, over the course of your carreer, and that you won't make the mistake twice.",132,0.6666666865348816,Positive,C:\work\数模\中文题目\E题\E题数据\附件1-数据集原始多模态样本\MOSEI数据集部分原始视频-100条\-I_e4mIh0yE\3.mp4,True,425914,True,1,1,h264,640,360,30/1,aac,44100,2,9.163021,True,True,True,True,True,qualified,,,
